num_braccia,dimensione,profondita,temperatura
5,piccola,27.16899634751697,28.92821131986257
5,piccola,81.05432066121298,16.95263002261186
5,piccola,11.14514607146139,31.91215431979352
5,piccola,27.07097046162754,28.50816292232625
5,grande,85.42222814706818,17.87097000536740
5,piccola,102.39366841157380,13.37936444560764
5,piccola,118.16316004449072,11.87236064581339
5,piccola,76.44351289108255,20.06837580609623
5,piccola,85.55488068937146,16.11820529375900
5,piccola,11.39094609455816,32.24277013601735
5,grande,129.90023587741206,8.91765271340976
12,piccola,5.84370120898650,35.54211786918520
5,piccola,52.22739095626289,23.38393804165562
5,grande,17.61129899018748,31.70849290112200
20,grande,44.07093619506122,27.98257520087087
5,piccola,2.19549483446380,35.70947660613261
5,piccola,40.22814197877623,27.03522868144605
5,piccola,91.21429133385089,15.28616269161984
5,piccola,2.17349684806905,34.16551396864498
5,grande,26.01184271976446,29.86411988943586
5,piccola,28.77924177814984,29.49337215120932
5,piccola,6.49090513500801,34.46796261337019
5,piccola,38.36119952875137,29.26606807792182
5,piccola,92.79523888745175,14.14512185369580
5,piccola,0.75002111030877,34.24163514718745
5,piccola,103.32087780742688,15.47066317781524
5,grande,14.60333101019668,31.16751638825324
5,grande,81.82661515363404,17.74290829631639
5,piccola,118.00670398695098,9.34730080333333
5,piccola,19.28183141040662,30.23500519195704
5,piccola,20.54255769084543,28.80957424965452
8,piccola,30.00460727045148,27.65968433155358
5,grande,100.36818053349478,15.27445500076259
5,grande,32.87617106348920,26.61944215814008
5,piccola,43.79033270045938,25.50247555460922
5,grande,51.14887660597395,24.93435300005370
5,piccola,63.58447845581077,22.48578359903888
6,piccola,51.93343810797938,23.55257666107008
5,grande,28.37269296797858,30.04396275319938
5,piccola,65.05542817003843,21.94153925911681
5,piccola,99.54461014744678,16.29873673941186
5,piccola,8.99770199157722,31.52793789650902
5,piccola,29.07769025581915,28.29718736056184
5,piccola,17.08592514628166,31.86107409648600
8,grande,36.42102721775498,27.40714793898156
5,piccola,72.41826986474300,20.24519753462268
20,piccola,5.19631550908412,32.88589425686248
5,media,43.83902792678324,24.83720525201999
5,piccola,32.78030609837470,28.02386698858939
6,piccola,12.97524492164506,31.82478018692693
5,grande,37.30180018548754,25.46894097505244
20,media,13.61470103777026,31.21055173638020
5,grande,67.68313965594473,22.73693699047896
5,piccola,38.29770718743408,27.66202466708707
5,media,55.07042992469069,23.70847437713638
5,media,91.70467356021686,14.99004182803148
5,piccola,23.49752901597324,28.97015504578190
5,piccola,53.38214031235695,25.12664912162076
5,piccola,48.54611003486169,27.21769982460381
17,piccola,20.56178900218641,29.76214732240760
5,piccola,90.37271552357799,15.49254567528690
5,media,78.64839328918006,17.24994744327539
5,piccola,48.13619417875896,24.84365740830372
5,piccola,66.46735419932367,21.63018475927292
5,piccola,112.39155447368566,13.73459673086733
5,piccola,43.26089382896324,26.70597575342784
5,media,78.36941108896895,19.46366006420909
5,media,73.29669262908038,20.83646795650030
5,piccola,54.76149608792509,23.05068488184640
5,piccola,68.19571554400727,20.36769512004844
5,piccola,24.98526998349521,30.31603203114724
5,piccola,84.80466562897323,18.31629804205412
5,media,50.71353346142515,24.06824311326606
5,media,51.64865691061699,23.60130581877278
5,piccola,54.67766716039983,23.60452001606024
5,piccola,43.06170820903722,27.04103903997872
5,piccola,36.13127336956014,26.74149505690159
5,grande,75.16730942139185,18.46055694076869
5,piccola,46.83493419848121,26.47487069013823
5,media,74.61347669049741,21.49715956848784
5,piccola,2.89374432921080,34.63678159618789
5,piccola,55.15824384413239,24.57901191560350
18,piccola,27.61894161874920,27.51216154454689
5,piccola,115.84179210062220,12.05580703031865
5,grande,41.96346462288845,25.62107076745596
5,piccola,49.30920340551280,23.74233428638952
5,piccola,72.18409659977866,19.40725600966712
16,media,99.99910660644959,16.24334197316400
5,piccola,109.90150325469367,11.12729491750776
5,grande,128.19707438420727,8.68714585893873
5,grande,128.21263971839167,9.28495573202815
5,piccola,60.85925367370623,24.39215547352770
5,grande,76.66258111812866,19.51919393645118
5,piccola,98.29710313289004,15.65268523016670
5,piccola,86.36387760547399,16.51515834895637
18,piccola,5.20387242574001,31.89673636671261
5,piccola,119.40798348510708,9.54897626015459
6,media,55.76873714589044,22.06883508988567
5,piccola,10.59431431192115,30.45069123952750
5,piccola,38.43787527469674,26.12915749400554
5,media,28.09728088004166,27.32299791364146
5,grande,118.93164126443682,10.11547265395992
13,piccola,14.76815621692030,31.29154154814304
16,piccola,3.33852182308933,34.20485639516426
5,grande,62.98198554212423,21.59969012161074
5,media,74.16050996463642,20.56660878388668
5,media,32.70292156962564,28.95157647261710
5,piccola,66.27026247272178,21.06439596502121
5,piccola,27.61903840731312,29.96773907939475
5,piccola,96.91870612638075,14.44719002013930
5,piccola,77.62218768852398,18.36918310182957
5,piccola,95.62614787803986,14.87037692811450
5,grande,70.06880865069633,20.45599591249976
5,piccola,47.44016050936010,26.48199314745787
5,piccola,11.34160638644965,32.22223828451912
5,grande,93.50501595547225,15.09134418781437
5,grande,44.02404157944526,27.24389295835907
5,piccola,78.00226584189087,20.31212263034004
5,piccola,32.79568744315662,29.76897607675574
5,grande,16.63250267588414,32.28335337288524
5,piccola,31.11150590890698,28.33700588080944
5,grande,48.19582994912347,24.95166313058704
